area_type,availability,location,bath,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Koramangala,2,Proodt ,1900,2,1,200
Built-up  Area,Ready To Move,Dodda Banaswadi,4,,3040Sq. Meter,5,1,140
Built-up  Area,Ready To Move,Sarjapur  Road,2,MJinele,1300,3,2,60
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1115,2,1,33.45
Super built-up  Area,Ready To Move,Rajaji Nagar,2,PhestOn,2409,3,2,360
Super built-up  Area,Ready To Move,Ambedkar Nagar,2,SoechHa,2150,4,2,125
Super built-up  Area,19-Mar,Marathahalli,2,Unezes ,1305,2,1,69
Super built-up  Area,20-Dec,Kanakpura Road,2,GolusLi,1252,2,1,56.32
Plot  Area,Ready To Move,Hosakerehalli,2,,2400,5,,250
Plot  Area,18-Sep,Whitefield,2,,1200,2,1,46.13
Built-up  Area,Ready To Move,Koramangala,2,,1750,3,1,130
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Assha A,545,1,1,35
Plot  Area,Ready To Move,BEL Layout,2,,1375,2,1,105
Super built-up  Area,Ready To Move,Subramanyapura,2,Chllsev,1313,2,2,66.5
Plot  Area,Ready To Move,Attibele,2,,3640,4,1,275
Super built-up  Area,20-Dec,Akshayanagara East,2,,1693,3,2,108
Super built-up  Area,Ready To Move,JCR Layout,2,ARnamru,1160,2,1,41.75
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,2,,1200,3,0,200
Super built-up  Area,Ready To Move,Subramanyapura,2,Mayne A,1255,2,2,79
Plot  Area,Ready To Move,KR Puram,5,,1000,4,1,75
Built-up  Area,Ready To Move,Bellari Road,4,Pralmat,900,2,1,45
Super built-up  Area,Ready To Move,Yelahanka New Town,1,Cerasy ,1700,3,2,90
Carpet  Area,Ready To Move,Indira Nagar,2,Gonorir,1875,3,1,180
Carpet  Area,Ready To Move,Uttarahalli,2,Baveles,1700,3,2,88
Super built-up  Area,Ready To Move,Harlur,1,Prncyrn,1749,3,2,115
Plot  Area,Ready To Move,Dasanapura,4,,1500,3,1,65
Super built-up  Area,Ready To Move,Varanasi,3,,1175,2,1,48
Built-up  Area,Ready To Move,Akshaya Nagar,3,,1280,2,1,60
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2,Krllael,1200,2,2,50
Super built-up  Area,Ready To Move,Ramagondanahalli,1,DNeremo,1610,2,2,115
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,46
Plot  Area,Ready To Move,TC Palaya,2,,1200,2,0,66
Super built-up  Area,19-Dec,9th Phase JP Nagar,2,,1127,2,1,50
Built-up  Area,Ready To Move,Indira Nagar,2,VKvenas,1210,2,1,102
Built-up  Area,Ready To Move,Jyothi Nagar,2,,600,2,1,23
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,4190,4,3,380
Super built-up  Area,Ready To Move,Tata Nagar,2,Shensit,1364,2,2,70
Super built-up  Area,Ready To Move,Whitefield,1,ArsiaEx,2268,3,0,146
Super built-up  Area,Ready To Move,RK Layout 2nd Stage,2,,1150,2,2,77.5
Super built-up  Area,Ready To Move,Tirumanahalli,2,,1146,2,1,39.5
Built-up  Area,Ready To Move,Magadi Road,2,DSellil,1345,2,2,55
Super built-up  Area,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,41
Built-up  Area,Ready To Move,Kengeri,2,VBvenal,750,2,1,36
Built-up  Area,Ready To Move,Motappa Layout,3,Puodse ,1156,2,2,49.5
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,ARvasV ,1247,2,1,59.8
Super built-up  Area,Ready To Move,Mangammanapalya,2,,1058,2,2,60
Super built-up  Area,Ready To Move,Kaggalipura,1,Baowsig,950,2,1,48
Super built-up  Area,Ready To Move,Vasanthapura,3,,420,2,0,35
Plot  Area,Ready To Move,BTM 1st Stage,1,,600,2,2,90
Super built-up  Area,21-Jun,Vijayanagar,1,Saityat,1520,2,1,103
Super built-up  Area,Ready To Move,Marathahalli,2,,1215,2,2,58.86
Built-up  Area,Ready To Move,Raghuvanahalli,1,,900,1,1,30
Super built-up  Area,Ready To Move,Hennur Road,2,Samittv,2350,3,2,174
Super built-up  Area,Ready To Move,Thanisandra,3,,1050,2,2,46
Super built-up  Area,Ready To Move, Devarabeesana Halli,2,Sorisa ,1672,3,2,150
Plot  Area,Ready To Move,Laggere,3,,2800,5,2,125
Super built-up  Area,Ready To Move,MCECHS  layout,2,,1500,2,2,65
Super built-up  Area,Ready To Move,Geddalahalli,2,,1400,2,2,65
Plot  Area,18-May,Whitefield,2,Prtates,500Sq. Yards,4,2,378
Built-up  Area,Ready To Move,8th Phase JP Nagar,2,,2700,4,2,130
Super built-up  Area,18-May,Bommasandra,2,SSestth,920,2,1,37.46
Plot  Area,18-Feb,Sarjapur  Road,2,Cetattu,1200,3,2,70
Built-up  Area,Ready To Move,Brindavan Nagar,3,Mancy R,1250,3,2,139
Super built-up  Area,18-Mar,Hosakerehalli,2,SoageHe,1817,4,,153
Plot  Area,Ready To Move,Cooke Town,3,,2043,6,,375
Super built-up  Area,Ready To Move,HSR Layout,2,NRosete,1140,2,2,46
Built-up  Area,Ready To Move,Yelahanka,2,,4346,4,1,450
Super built-up  Area,Ready To Move,Haralur Road,4,NRowse ,1464,2,2,56
Super built-up  Area,Ready To Move,Ambedkar Colony,1,RMcesa ,1468,3,2,130
Super built-up  Area,Ready To Move,Electronics City Phase 1,1,SNdri N,1555,2,1,82
Plot  Area,Ready To Move,Munnekollal,2,,1200,4,2,110
Built-up  Area,Ready To Move,Whitefield,2,SNadeAr,1150,2,0,55
Super built-up  Area,19-Oct,Kadubeesanahalli,2,,970,2,1,35
Super built-up  Area,18-May,Banashankari,3,,2500,4,3,95
Super built-up  Area,Ready To Move,Seetharampalya,2,Mazler ,1166,2,1,53
Plot  Area,Ready To Move,Konanakunte,4,Prasa W,2779,3,1,317
Super built-up  Area,Ready To Move,Electronic City,1,Palleon,1350,3,2,58
Built-up  Area,Ready To Move,Mariyannapalya,1,,900,2,3,46
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1300,2,2,52
Built-up  Area,Ready To Move,Kanaka Nagar,1,SoersTo,1190,3,1,55
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,Suntsan,1495,2,2,75
Built-up  Area,Ready To Move,Indira Nagar,3,Riousd ,1224,2,2,105
Super built-up  Area,Ready To Move,Banashankari Stage III,1,Mandsi ,1350,2,2,68
Built-up  Area,Ready To Move,Green Glen Layout,3,Mazzo P,940,2,1,56.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,DwntsAp,1100,2,1,55
Super built-up  Area,Ready To Move,Kaikondrahalli,3,Sheurre,1300,2,2,61
Built-up  Area,Ready To Move,Palace Road,2,,1480,2,0,145
Super built-up  Area,Ready To Move,Hoodi,2,,1105,2,2,46.37
Plot  Area,17-Jun,Sarjapur  Road,2,AztheBr,2600,3,2,200
Super built-up  Area,21-Mar,Yelahanka,3,Goues A,1517,3,2,76.3
Built-up  Area,Ready To Move,Horamavu Banaswadi,2,,3800,8,0,200
Super built-up  Area,Ready To Move,Jalahalli,1,,1615,3,2,89.75
Super built-up  Area,Ready To Move,MCECHS  layout,2,,1500,3,2,65
Super built-up  Area,Ready To Move,Mysore Road,3,,1082,3,1,50.5
Super built-up  Area,Ready To Move,Marathahalli,3,Vaoodar,1365,2,2,73
Super built-up  Area,Ready To Move,Electronic City,3,Itelaa ,1000,2,3,25
Super built-up  Area,Ready To Move,CV Raman Nagar,1,Pu270a ,1392,2,1,98
Super built-up  Area,18-Apr,Kodigehalli,3,,1086,2,1,33.66
Super built-up  Area,Ready To Move,Hennur Road,3,ChionCo,1586,3,3,93.94
Built-up  Area,Ready To Move,Hennur,1,,1100,2,1,60
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1065,2,1,30.75
Plot  Area,Ready To Move,TC Palaya,1,,1500,2,1,120
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1575,2,2,120
Super built-up  Area,Ready To Move,Hennur Road,2,,1975,3,3,123
Super built-up  Area,Ready To Move,Nelamangala,1,,820,2,2,24
Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1745,3,2,110
Super built-up  Area,Ready To Move,Nagarbhavi,3,SVdhaig,1223,2,1,60
Super built-up  Area,Ready To Move,Ananth Nagar,3,,1200,2,1,65
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,Niine J,1200,2,0,90
Super built-up  Area,19-Dec,Binny Pete,3,She 2rk,665,1,1,46.08
Super built-up  Area,Ready To Move,Bharathi Nagar,2,FoapeWa,1351,2,2,70
Super built-up  Area,18-Dec,Hebbal,2,Magiaya,1355,3,1,83.87
Built-up  Area,Ready To Move,Sector 7 HSR Layout,2,,3900,3,2,300
Super built-up  Area,18-Nov,Thanisandra,1,,1588,3,1,75.55
Carpet  Area,Ready To Move,Amruthahalli,1,,900,2,1,60
Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3,,440,3,0,50
Built-up  Area,18-Feb,Harlur,3,,3385,4,,260
Super built-up  Area,Ready To Move,Panathur,3,Saite G,1370,2,2,75
Plot  Area,18-Dec,Whitefield,1,,1500,3,1,71.8
Super built-up  Area,Ready To Move,Pulikeshi Nagar,2,,2280,3,,285
Super built-up  Area,21-Dec,Kanakpura Road,2,,1100,3,2,53
Built-up  Area,Ready To Move,Hoodi,1,Adion M,1247,2,0,53
Super built-up  Area,19-Dec,Domlur Layout,1,,2000,3,2,200
Super built-up  Area,18-Jul,Balagere,1,Soresea,1020.07,2,1,68.38
Super built-up  Area,19-Dec,Gunjur Palya,1,,1033,2,2,32
Built-up  Area,Ready To Move,B Narayanapura,2,Niidet ,1460,2,3,73
Super built-up  Area,Ready To Move,Garudachar Palya,3,,1150,2,2,52.8
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Maana E,5965,5,,385
Super built-up  Area,Ready To Move,Babusapalaya,3,,1141,2,1,46
Super built-up  Area,Ready To Move,Yelahanka,2,Niareum,2806 - 3019,6,0,125.5
Plot  Area,Ready To Move,Doddaballapur,2,,4200,4,3,325
Super built-up  Area,18-Jul,Hosa Road,1,Sosisic,1665,2,3,125
Super built-up  Area,18-Dec,Kanakapura,3,GoityEt,1295,2,2,64
Super built-up  Area,18-Aug,Haralur Road,2,SNnia E,1230,2,1,78
Super built-up  Area,Ready To Move,Anand Nagar,2,,1080,2,2,75
Super built-up  Area,Ready To Move,Kaggalipura,1,Baowsig,1000,2,1,60
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,,2400,2,0,50
Super built-up  Area,19-Dec,Whitefield,2,Goted U,613 - 648,1,0,32.79
Super built-up  Area,18-May,Rayasandra,3,,1708,3,2,75
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1697,3,2,115
Super built-up  Area,Ready To Move,Whitefield,2,T ZedZe,3537,5,3,210
Super built-up  Area,19-Mar,Hosa Road,3,Skume R,615,1,1,28.29
Built-up  Area,Ready To Move,Banashankari,2,Naashi ,1350,2,0,83
Super built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,1430 - 1630,,,66.4
Super built-up  Area,19-Dec,Jalahalli,3,DSata S,1083,2,1,32.49
Super built-up  Area,Ready To Move,Gottigere,2,Srtusi ,1460,2,2,65
Super built-up  Area,Ready To Move,Babusapalaya,3,,1084,2,1,58
Super built-up  Area,18-May,Bommasandra,2,SSestth,1035,2,1,41.43
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3,,2400,2,1,150
Super built-up  Area,Ready To Move,Hosur Road,2,SLiewce,460,1,1,21
Super built-up  Area,Ready To Move,Narayanappa Layout,1,,950,5,,90
Super built-up  Area,Ready To Move,Whitefield,1,Iseenst,1285,2,2,55.9
Super built-up  Area,Ready To Move,1Hanuman Nagar,3,,2000,16,,490
Plot  Area,Ready To Move,Sarjapur,3,Inensba,1200,3,2,78
Built-up  Area,Ready To Move,Raghuvanahalli,1,Srncykh,1070,2,1,35
Super built-up  Area,Ready To Move,Hegde Nagar,2,SoitaCa,1801,3,2,140
Super built-up  Area,18-Dec,Whitefield,3,Prtates,1697,3,2,115
Super built-up  Area,Ready To Move,AECS Layout,2,CMoryma,1199,2,2,65
Super built-up  Area,Ready To Move,Iblur Village,2,Emine P,2300,3,1,220
Super built-up  Area,Ready To Move,Mysore Road,4,,1340,2,3,64.31
Super built-up  Area,Ready To Move,Marathahalli,3,PueraRi,3800,4,3,205
Plot  Area,Ready To Move,Jigani,4,,600,5,,50
Super built-up  Area,Ready To Move,Wilson Garden,3,Gonoril,1125,2,1,75
Plot  Area,Ready To Move,Anandapura,2,,1200,2,1,67
Built-up  Area,Ready To Move,Subramanyapura,3,Srnumum,1050,2,3,41
Built-up  Area,Ready To Move,Nagarbhavi,2,Jaiewke,956,2,1,49
Super built-up  Area,Ready To Move,Sarjapur,4,Sondaka,1000,2,2,30
Built-up  Area,Ready To Move,Dooravani Nagar,2,Puceswn,1596,3,0,95
Plot  Area,Ready To Move,Kumbhena Agrahara,2,,1200,5,1,150
Super built-up  Area,19-Jul,Kanakpura Road,3,Soazak ,1296,2,3,89.06
Plot  Area,Ready To Move,NS Palya,3,,1200,7,,170
Built-up  Area,Ready To Move,Challaghatta,3,ShanaSp,1639,3,3,123
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Coomee ,1219,2,1,61.25
Built-up  Area,Ready To Move,Uttarahalli,2,,1200,3,1,50
Super built-up  Area,Ready To Move,Bannerghatta Road,3,,1218,2,1,73
Super built-up  Area,Ready To Move,Nyanappana Halli,3,,920,2,3,37
Super built-up  Area,Ready To Move,Yeshwanthpur,2,IBityin,2559,3,2,141
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,3,,525,1,1,26
Super built-up  Area,18-Feb,Bannerghatta Road,3,DSnjh S,1427,2,2,48.51
Super built-up  Area,18-Apr,Kothannur,4,,1270,3,2,45
Built-up  Area,Ready To Move,Ramagondanahalli,2,SVovelm,920,2,3,65
Built-up  Area,Ready To Move,Dommasandra,2,,2700,3,2,68
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,2,,1740,3,2,199
Built-up  Area,Ready To Move,Ramamurthy Nagar,2,,1355,2,,40
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1530,2,2,90
Carpet  Area,Ready To Move,Gokula Extension,2,,1372,2,1,90
Super built-up  Area,Ready To Move,Nehru Nagar,3,Undge T,2363,5,2,120
Super built-up  Area,Ready To Move,Marathahalli,2,PueraRi,3895,4,3,220
Super built-up  Area,20-Jun,Jakkur,2,SoineC ,1950,3,2,131
Built-up  Area,Ready To Move,Hoysalanagar,3,PNncysi,885,2,3,40
Built-up  Area,Ready To Move,Yelahanka,3,,600,2,2,27
Plot  Area,Ready To Move,Kumaraswami Layout,2,,1270,4,1,128
Plot  Area,Ready To Move,Vijayanagar,3,,1380,2,0,225
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,2,62
Super built-up  Area,Ready To Move,Whitefield,3,SMuilan,1130,2,1,36
Built-up  Area,Ready To Move,Uttarahalli,4,,1085,2,2,43
Built-up  Area,Ready To Move,Yeshwanthpur,4,IBityin,1430,3,2,72
Carpet  Area,18-Dec,Bhoganhalli,2,Rosha I,1451.5,4,1,121
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,1,PeBayle,6200,5,,720
Super built-up  Area,Ready To Move,AGS Layout,2,,1490,2,1,59.6
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2,,1650,4,0,99
Super built-up  Area,Ready To Move,Bellandur,2,,1286,2,2,57
Built-up  Area,Ready To Move,KR Garden,4,Saavear,925,2,2,63
Super built-up  Area,Ready To Move,Bellandur,2,Sonyxa ,3016,4,3,230
Built-up  Area,Ready To Move,Haralur Road,4,,1000,2,2,44
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1215,2,2,39
Plot  Area,Ready To Move,Kanakadasa Layout,3,,1200,3,1,95
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,Puarent,1336,2,2,100
Super built-up  Area,Ready To Move,Yeshwanthpur,4,IBityin,673,1,1,36.85
Plot  Area,Ready To Move,Anandapura,2,,1200,2,1,58
Plot  Area,Ready To Move,Lingarajapuram,3,,600,7,2,63
Super built-up  Area,Ready To Move,Malleshwaram,2,,1600,3,3,160
Plot  Area,Ready To Move,Mallathahalli,2,,1200,2,0,79
Plot  Area,Ready To Move,Indira Nagar,4,,2480,4,1,750
Super built-up  Area,18-Apr,Jayamahal Extension,2,,2500,3,,270
Plot  Area,Ready To Move,Devanahalli,2,,2400,5,3,100
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2,,1143,2,2,65
Super built-up  Area,Ready To Move,Kanakpura Road,2,JRrnauv,1470,2,2,61.74
Plot  Area,Ready To Move,Laxminarayana Layout,3,,1584,3,2,145
Super built-up  Area,Ready To Move,Marathahalli,2,Vaoodar,1785,3,2,94
Super built-up  Area,Ready To Move,Koramangala,2,,2292,3,2,286
Super built-up  Area,Ready To Move,Kothanur,3,,1460,3,3,71
Super built-up  Area,Ready To Move,Kasturi Nagar,2,,1500,2,3,80
Plot  Area,Ready To Move,Yelahanka,2,,1200,4,1,140
Built-up  Area,Ready To Move,Sanjay nagar,3,,3300,3,,250
Super built-up  Area,Ready To Move,Chikkalasandra,3,,1230,2,2,48
Super built-up  Area,Ready To Move,Yelahanka New Town,2,KHatsFl,650,1,1,20
Super built-up  Area,Ready To Move,Benson Town,2,,1480,2,,120
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1220,2,1,43.92
Super built-up  Area,Ready To Move,Dooravani Nagar,3,Puceswn,1570,3,1,115
Built-up  Area,Ready To Move,Sadashiva Nagar,2,,3000,3,3,400
Super built-up  Area,Ready To Move,Mallasandra,2,Puestig,1665,3,2,86.91
Plot  Area,Ready To Move,Banagiri Nagar,2,,1350,3,1,380
Plot  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,4000,5,2,600
Plot  Area,Ready To Move,Ramamurthy Nagar,2,,1100,2,0,68
Super built-up  Area,Ready To Move,Kathriguppe,3,Prone M,1350,2,1,87.01
Built-up  Area,Ready To Move,Kasavanhalli,2,Salisal,1719,3,2,116
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,664,1,1,35
Super built-up  Area,18-Dec,Sonnenahalli,4,Skacak ,1011,2,1,50.53
Built-up  Area,Ready To Move,Akshya Nagar,2,,2400,6,0,130
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,2,,1680,3,2,85
Super built-up  Area,Ready To Move,Yeshwanthpur,2,VSlistr,704 - 730,2,0,49.475
Plot  Area,Ready To Move,Thyagaraja Nagar,2,,700,4,2,110
Super built-up  Area,Ready To Move,Whitefield,2,Skstark,1520,2,2,150
Carpet  Area,Ready To Move,Uttarahalli,2,Vancya ,1350,2,2,53
Super built-up  Area,15-Nov,Kothanur,3,Somumys,1760,3,,150
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,Shvarji,875,2,1,33
Super built-up  Area,Ready To Move,Hennur,2,Adity T,1231,2,2,48
Super built-up  Area,Ready To Move,Somasundara Palya,3,Abeesmi,1174,2,3,74
Built-up  Area,Ready To Move,Munnekollal,2,DaniaNe,1560,3,3,75
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3,,1464,2,2,56
Plot  Area,Ready To Move,Kanakpura Road,2,,2200,3,2,130
Built-up  Area,Ready To Move,Shivaji Nagar,3,,850,2,2,55
Built-up  Area,Ready To Move,Sahyadri Layout,3,Adthm R,1750,3,1,180
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,NCaveun,2024,3,,157
Plot  Area,Ready To Move,Mathikere SBM colony,3,,1500,1,0,160
Plot  Area,Ready To Move,"white field,kadugodi",2,,2100,6,,275
Super built-up  Area,Ready To Move,Kodihalli,3,Soianal,2408,4,2,260
Super built-up  Area,Ready To Move,Devanahalli,2,Brrds O,1080,2,1,44
Super built-up  Area,Ready To Move,Indira Nagar,2,,2070,3,2,225
Built-up  Area,18-Dec,Electronic City,2,,1020,2,1,29.46
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1500,2,3,55
Plot  Area,Ready To Move,Mahalakshmi Layout,2,,1575,5,1,158
Plot  Area,Ready To Move,Kodichikkanahalli,2,,3250,4,1,180
Super built-up  Area,Ready To Move,Uttarahalli,2,,1175,2,1,47
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1030,2,1,34.5
Super built-up  Area,18-Jul,Hebbal,2,Mahosya,1440,2,1,115
Built-up  Area,Ready To Move,Hoodi,1,SMaxyay,1500,2,1,84
Plot  Area,Ready To Move,Thanisandra,2,,1380,1,1,62.1
Built-up  Area,Ready To Move,Bagalur,2,Haows M,1200,2,3,50
Built-up  Area,Ready To Move,Vinayak Nagar,3,,705,1,2,36.5
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,2240,5,2,155
Super built-up  Area,Ready To Move,Hegde Nagar,2,Sonosty,1584.01,3,1,103
Super built-up  Area,Ready To Move,P Krishnappa Layout,3,Apitea ,1340,3,3,77
Super built-up  Area,Ready To Move,Green Garden Layout,2,Mas 2 H,1800,3,2,70
Super built-up  Area,Ready To Move,R.T. Nagar,1,,1200,2,3,45
Super built-up  Area,18-Nov,Sarjapur  Road,2,AsastDe,685,1,1,40
Super built-up  Area,Ready To Move,Kalkere,2,Sothin ,925,2,3,42
Super built-up  Area,Ready To Move,Crimson Layout,1,ARntyne,1230,2,2,57
Plot  Area,Ready To Move,Manjunath Nagar,2,,1200,5,1,185
Super built-up  Area,Ready To Move,Kodichikkanahalli,1,Aaubyya,1125,2,1,52
Super built-up  Area,Ready To Move,Hebbal,2,,1100,2,1,54
Plot  Area,18-Aug,Jigani,2,Prllasw,2400,3,2,149
Super built-up  Area,18-Jul,Electronic City Phase II,3,Sryalan,1400,2,2,41.58
Plot  Area,Ready To Move,Uttarahalli,2,,1200,7,2,225
Super built-up  Area,Ready To Move,Jakkur,2,Ceezey ,1858,3,1,98.3
Plot  Area,Ready To Move,Adityanagar,2,,1260,1,1,41
Built-up  Area,Ready To Move,Ambedkar Nagar,2,SoechHa,3530,4,2,290
Super built-up  Area,Ready To Move,HSR Layout,2,,1185,2,2,60
Plot  Area,Ready To Move,RMV 2nd Stage,2,,1200,2,1,216
Super built-up  Area,Ready To Move,Hennur,2,,1255,2,1,58
Super built-up  Area,Ready To Move,Rajaji Nagar,2,,3436,6,3,475
Built-up  Area,Ready To Move,Kudlu Gate,2,Brlms P,1335,3,2,89
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1999,3,2,132
Plot  Area,Ready To Move,Kanaka Nagar,1,,1200,2,1,125
Super built-up  Area,Ready To Move,Kundalahalli,2,Dieldli,1397,3,2,110
Plot  Area,Ready To Move,Jigani,1,Mae 2ra,1200,10,,105
Super built-up  Area,Ready To Move,Cooke Town,3,,3950,4,,450
Plot  Area,Ready To Move,Yelahanka New Town,2,KHatsFl,1200,2,1,130
Plot  Area,Ready To Move,Chikka Tirupathi,1,,1616,3,0,95
Plot  Area,Ready To Move,Banashankari Stage III,1,,1200,7,2,350
Built-up  Area,Ready To Move,Hanumantha Nagar,2,,1270,2,1,175
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1140,2,2,38.55
Super built-up  Area,21-Jan,Kanakpura Road,2,PrarePa,525,1,1,30
Plot  Area,Ready To Move,Varthur,2,,1200,2,1,98
Built-up  Area,Ready To Move,Bagalakunte,1,,700,1,1,162
Super built-up  Area,18-Jul,Balagere,2,Soresea,1205.47,2,1,81
Plot  Area,Ready To Move,T Dasarahalli,2,,1200,3,2,130
Super built-up  Area,Ready To Move,Electronic City,2,Naireru,1700,3,2,75
Plot  Area,Ready To Move,Thanisandra,1,,750,4,0,62
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1090,2,1,54.54
Super built-up  Area,Ready To Move,Yeshwanthpur,2,IBityin,3600,5,,220
Built-up  Area,Ready To Move,Kundalahalli,2,,2400,1,0,650
Super built-up  Area,19-Mar,Thanisandra,5,Bhe 2ko,923,1,1,60.84
Super built-up  Area,18-May,Muthurayya Swamy Layout,1,MacleK ,3595,6,2,360
Super built-up  Area,Ready To Move,Green Glen Layout,1,GaentAp,1050,2,2,48
Super built-up  Area,Ready To Move,Whitefield,4,UKe 2nz,1495,2,2,79.5
Super built-up  Area,19-Mar,Hennur Road,1,Puachal,1482 - 1846,,,93.865
Built-up  Area,Ready To Move,Narayanapura,2,,1485,3,2,85
Super built-up  Area,19-Dec,Dommasandra,2,,1033,2,2,31.5
Super built-up  Area,Ready To Move,Electronic City,2,DSgmax ,1400,2,1,48
Built-up  Area,Ready To Move,Indira Nagar,1,,500,1,0,70
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ascid P,944,2,1,35
Built-up  Area,Ready To Move,Whitefield,2,,3250,5,0,290
Super built-up  Area,19-Mar,Whitefield,2,Prtates,1216,2,1,66.48
Super built-up  Area,Ready To Move,Thirumenahalli,1,,1100,2,1,39.5
Super built-up  Area,Ready To Move,Thanisandra,2,Moity S,1743,3,2,93.25
Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1274,2,2,48.42
Super built-up  Area,Ready To Move,Lavelle Road,2,,2500,3,2,425
Super built-up  Area,Ready To Move,Mysore Road,2,SaodySa,1512,2,2,110
Super built-up  Area,Ready To Move,Dollars Colony,2,,3100,5,1,385
Super built-up  Area,Ready To Move,Cox Town,2,,1650,3,3,100
Built-up  Area,Ready To Move,Doddathoguru,1,SryleHo,1875,3,1,55
Built-up  Area,Ready To Move,Whitefield,2,,1350,3,2,54
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2,,1219,2,2,40
Plot  Area,Ready To Move,Goraguntepalya,2,,1200,4,1,150
Plot  Area,Ready To Move,Sarjapura - Attibele Road,2,,2400,3,3,85
Super built-up  Area,Ready To Move,Hormavu,1,,1141,2,1,44.4
Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1151,2,1,43.1
Plot  Area,Ready To Move,Bommenahalli,2,Prana S,832,3,1,77
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Shthi S,915,2,1,38
Plot  Area,Ready To Move,Rajankunte,2,,3259,3,0,270
Super built-up  Area,22-Dec,Bannerghatta Road,2,PrarePa,1115,2,1,65.12
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,2072,4,2,139
Super built-up  Area,Ready To Move,Kaggadasapura,2,MCngeha,1200,2,2,53
Super built-up  Area,Ready To Move,Singasandra,2,Phhidx ,1300,2,2,65
Super built-up  Area,Ready To Move,Bellandur,2,Amivace,1457,2,2,85
Super built-up  Area,Ready To Move,Kannamangala,2,Marnaer,1262,2,2,55
Plot  Area,Ready To Move,BEML Layout,3,,1196,3,1,150
Super built-up  Area,18-Aug,Ananth Nagar,1,,900,2,2,22.5
Built-up  Area,Ready To Move,Attibele,2,Jae 1hu,420,1,1,17
Super built-up  Area,Ready To Move,Kanakapura,2,,1160,2,1,46.39
Super built-up  Area,Ready To Move,Kasavanhalli,2,,1115,2,2,50
Built-up  Area,Ready To Move,JP Nagar,2,,1315,2,1,85.4
Built-up  Area,Ready To Move,Babusapalaya,2,,1500,2,2,57
Super built-up  Area,Ready To Move,HSR Layout,2,SruntFa,1127,2,1,68
Super built-up  Area,18-Feb,Kundalahalli,2,Dieldli,1397,3,2,104
Built-up  Area,20-Dec,Whitefield,2,,1173,2,1,60
Super built-up  Area,Ready To Move,Sompura,2,,1090,2,2,28
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maana E,2720,5,,210
Super built-up  Area,18-May,Jakkur,2,BrdgeNo,1230,2,1,76
